image url,Manual validation,microsoft azure labels,gluon labels,google label description,google object detection
https://inaturalist-open-data.s3.amazonaws.com/photos/287941/medium.jpg?1365029017,True,"['invertebrate', 'animal', 'plant', 'bee', 'arthropod', 'insect', 'beetle', 'pest', 'caterpillar', 'pollinator', 'outdoor object', 'close']",['bee'],"['Pollinator', 'Arthropod', 'Botany', 'Insect', 'Leaf', 'Honeybee', 'Pest', 'Plant', 'Terrestrial plant', 'Parasite']",['Insect']
https://inaturalist-open-data.s3.amazonaws.com/photos/373456/medium.jpg?1371408163,True,"['invertebrate', 'bee', 'fly', 'beetle', 'pest', 'wasp', 'arthropod', 'insect', 'membrane-winged insect', 'outdoor object']","['bee', 'fly']","['Pollinator', 'Insect', 'Arthropod', 'Yellow', 'Organism', 'Honeybee', 'Pest', 'Invertebrate', 'Parasite', 'Symmetry']",['Bee']
https://static.inaturalist.org/photos/426409/medium.jpg?1444614306,True,"['invertebrate', 'yellow', 'bee', 'beetle', 'flower', 'membrane-winged insect', 'wasp', 'pollinator', 'outdoor object', 'arthropod', 'pest', 'eumenidae', 'hornet', 'honeybee', 'plant', 'animal', 'insect']",['bee'],"['Flower', 'Plant', 'Pollinator', 'Insect', 'Arthropod', 'Yellow', 'Pest', 'Invertebrate', 'Wing', 'Propeller']","['Bee', 'Flower']"
https://inaturalist-open-data.s3.amazonaws.com/photos/507821/medium.jpg?1444262111,True,"['invertebrate', 'bee', 'beetle', 'animal', 'spider', 'pest', 'arthropod', 'wasp', 'membrane-winged insect', 'insect', 'macro photography', 'green', 'eumenidae', 'hornet', 'fly', 'ant', 'outdoor object', 'parasite', 'sphecidae', 'colorful']","['honeycomb', 'bee']","['Head', 'Pollinator', 'Insect', 'Arthropod', 'Eye', 'Human body', 'Honeybee', 'Pest', 'Invertebrate', 'Parasite']",['Bee']
https://static.inaturalist.org/photos/661141/medium.jpg?1391423210,True,"['invertebrate', 'wooden', 'outdoor', 'beetle', 'bee', 'yellow', 'animal', 'pest', 'insect', 'wasp', 'arthropod', 'eumenidae', 'wood', 'spider', 'pollinator', 'membrane-winged insect', 'hornet', 'sphecidae', 'ladybug', 'parasite']","['honeycomb', 'long-horned beetle', 'bee']","['Pollinator', 'Arthropod', 'Insect', 'Honeybee', 'Wood', 'Pest', 'Terrestrial animal', 'Parasite', 'Membrane-winged insect', 'Invertebrate']",['Insect']
https://inaturalist-open-data.s3.amazonaws.com/photos/790865/medium.jpg?1397726082,True,"['invertebrate', 'insect', 'animal', 'spider', 'plastic', 'arthropod', 'beetle', 'plant']","['long-horned beetle', 'honeycomb']","['Insect', 'Pollinator', 'Arthropod', 'Nature', 'Organism', 'Terrestrial animal', 'Terrestrial plant', 'Pest', 'Spider', 'Honeybee']",['Insect']
https://inaturalist-open-data.s3.amazonaws.com/photos/799458/medium.jpg?1444547281,True,"['invertebrate', 'animal', 'insect', 'beetle', 'green', 'arthropod', 'pest', 'bee', 'wasp', 'pollinator']",['fly'],"['Pollinator', 'Insect', 'Arthropod', 'Organism', 'Plant', 'Pest', 'Parasite', 'Membrane-winged insect', 'Macro photography', 'Net-winged insects']",['Insect']
https://inaturalist-open-data.s3.amazonaws.com/photos/826531/medium.jpg?1399108845,True,"['plant', 'insect', 'invertebrate', 'flower', 'bee', 'goldenrod', 'butterweed', 'yellow', 'pollinator', 'membrane-winged insect', 'honeybee', 'animal', 'brittlebush']",['bee'],"['Flower', 'Plant', 'Pollinator', 'Arthropod', 'Insect', 'Organism', 'Yellow', 'Flowering plant', 'Pest', 'giant goldenrod']","['Bee', 'Flower']"
https://static.inaturalist.org/photos/908144/medium.jpg?1444568707,True,"['invertebrate', 'yellow', 'beetle', 'animal', 'arthropod', 'pest', 'insect']","['long-horned beetle', 'bee']","['Insect', 'Arthropod', 'Pest', 'Terrestrial animal', 'Parasite', 'Wing', 'wasp', 'Cricket-like insect', 'Membrane-winged insect', 'Wasp']",['Insect']
https://static.inaturalist.org/photos/919742/medium.jpg?1402515584,True,"['invertebrate', 'animal', 'beetle', 'pest', 'arthropod', 'wasp', 'bee', 'insect']","['honeycomb', 'long-horned beetle', 'bee']","['Arthropod', 'Insect', 'Pollinator', 'Pest', 'Honeybee', 'Parasite', 'Membrane-winged insect', 'Terrestrial animal', 'Net-winged insects', 'Macro photography']",['Insect']
