image url,Manual validation,microsoft azure labels,gluon labels,google label description,google object detection
https://live.staticflickr.com/65535/51096397035_d59c0df3a1_c.jpg,True,"['frog', 'animal', 'reptile', 'snake']",['tailed frog'],"['Brown', 'Arthropod', 'Insect', 'Pollinator', 'Moths and butterflies', 'Butterfly', 'Terrestrial animal', 'Symmetry', 'Pattern', 'Reptile']","['Frog', 'Animal']"
https://live.staticflickr.com/65535/51095572364_e9b62d764e_c.jpg,True,"['animal', 'ground', 'frog', 'reptile', 'lizard', 'amphibian', 'toad', 'true frog', 'true toad', 'herpetology', 'scaled reptile', 'iguana', 'crocodile', 'snake']","['tailed frog', 'bullfrog']","['Head', 'Frog', 'Eye', 'True frog', 'Toad', 'True toad', 'Organism', 'Terrestrial animal', 'Amphibian', 'Snout']",['Frog']
https://live.staticflickr.com/65535/51095587457_dc848ef0a7_c.jpg,True,"['animal', 'frog', 'reptile', 'amphibian', 'true frog', 'toad', 'lizard', 'true toad', 'turtle', 'tortoise', 'scaled reptile', 'anaxyrus', 'snake', 'crocodile', 'bullfrog']",['tailed frog'],"['True toad', 'Eye', 'True frog', 'Frog', 'Toad', 'Organism', 'Anaxyrus', 'Terrestrial animal', 'Amphibian', 'Snout']",['Frog']
https://live.staticflickr.com/65535/51089121676_3666567c54_o.jpg,True,"['ground', 'animal', 'outdoor', 'frog', 'amphibian', 'true frog', 'toad', 'true toad', 'reptile', 'lizard', 'open', 'anaxyrus', 'dry', 'close']",['tailed frog'],"['True toad', 'Frog', 'True frog', 'Toad', 'Anaxyrus', 'Terrestrial animal', 'Amphibian', 'Texas Toad', 'Bullfrog', 'Landscape']",['Frog']
https://live.staticflickr.com/65535/51014050635_51c53599b7_o.jpg,False,"['invertebrate', 'animal', 'insect']",['bee'],"['Insect', 'Arthropod', 'Pollinator', 'Halictidae', 'Pest', 'Parasite', 'Macro photography', 'Art', 'Membrane-winged insect', 'Fly']",['Bee']
https://live.staticflickr.com/65535/51070269406_9a0b57877f_o.jpg,False,"['animal', 'chocolate', 'fish', 'salamander']",['rock crab'],"['Fang', 'Terrestrial animal', 'Reptile', 'Terrestrial plant', 'Amphibian', 'Soil', 'Darkness', 'Wood', 'Macro photography', 'Scaled reptile']",['Animal']
https://live.staticflickr.com/65535/51061343011_393b7f4bf2_c.jpg,False,"['reptile', 'animal', 'scaled reptile', 'lizard', 'crocodile', 'snake', 'iguania']","['common iguana', 'green lizard', 'American chameleon']","['Reptile', 'Iguania', 'Lizard', 'Scaled reptile', 'Liquid', 'Terrestrial animal', 'Water', 'Close-up', 'Dragon lizard', 'Macro photography']",['Lizard']
https://live.staticflickr.com/65535/51055438668_c18bd6182d_c.jpg,True,"['animal', 'frog', 'reptile', 'amphibian', 'true frog', 'toad', 'true toad', 'lizard', 'close']","['bullfrog', 'tailed frog']","['Frog', 'Eye', 'True frog', 'Toad', 'Terrestrial animal', 'Amphibian', 'Snout', 'Close-up', 'Macro photography', 'Bufo']",['Frog']
https://live.staticflickr.com/65535/51048258061_06502469c2_o.jpg,True,"['grass', 'frog', 'animal', 'outdoor', 'reptile', 'amphibian', 'true frog', 'lizard', 'toad', 'true toad']",['tailed frog'],"['Head', 'True toad', 'Frog', 'Plant', 'True frog', 'Anaxyrus', 'Toad', 'Terrestrial animal', 'Grass', 'Amphibian']",['Frog']
https://live.staticflickr.com/65535/51047794432_fb0f1cb735_c.jpg,True,"['animal', 'cave', 'rock', 'frog']",['rock crab'],"['Bedrock', 'Terrestrial animal', 'Rock', 'Grass', 'Soil', 'Big cats', 'Landscape', 'Natural material', 'Felidae', 'Amphibian']",['Frog']
